track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_acoustic_proba,genre_country_proba,genre_hiphop_proba,genre_pop_proba,genre_rnb_proba,genre_rock_proba
6A3SB2C4U6JtCavQOXLYNN,Je M'appelle,2GYIFLUsVVHPPUzOfJndRh,Benzz,6T6uWGOSAUhvoZfLlIyDuJ,139574,2022-04-21,77,0.807,0.75,11,-4.396,1,0.237,0.17,0.0,0.164,0.961,141.176,2,hiphop,0.40086666666666665,0.014,0.014199999999999999,0.40086666666666665,0.285,0.26793333333333336,0.018
7fZBQnc0zXwVybgCIrQQil,Belly Dancer,5rGrDvrLOV2VV8SCFVGWlj,Imanbek,2npvQTpyjLtapBWTNTNlqn,151475,2022-02-18,84,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,3,pop,0.44488078231292516,0.008,0.010326530612244898,0.40033367346938775,0.44488078231292516,0.11636819727891157,0.020090816326530613
6EbVuwU7EnKeF2hdpViXCH,Die Young (feat. 347aidan),6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,33C2Ujqsq5tFa93LtafTHN,148816,2022-05-25,78,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,2,hiphop,0.416,0.132,0.032,0.416,0.23,0.182,0.008
06JvOZ39sK8D8SqiqfaxDU,True Love,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,1YA0gAfV91LkDq1DODSCbc,148571,2022-05-27,78,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,2,hiphop,0.872,0.0,0.0,0.872,0.05,0.068,0.01
7fYRg3CEbk6rNCuzNzMT06,Potion (with Dua Lipa & Young Thug),7CajNmpbOovFoOoasH2HaY,Calvin Harris,1V6HksALLzO5ihpU3YVqJc,214459,2022-05-27,73,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,3,pop,0.46276666666666666,0.012066666666666667,0.03546666666666667,0.14328727272727276,0.46276666666666666,0.2840560606060606,0.06235666666666667
3RhyHYnYxuGnP8njFlNxHq,don't come back,45dkTj5sMRSjrmBSBeiHym,Tate McRae,5fhTetHew6Eph6HfQ9O5gJ,152786,2022-05-27,67,0.707,0.483,1,-7.365,1,0.059,0.106,3.54e-06,0.0356,0.386,87.999,4,rnb,0.4008768350512537,0.034820512820512815,0.12122916666666665,0.21957535778175316,0.14915678152596756,0.4008768350512537,0.07434134615384616
3MTm8eZ2wCEtpyZqqhP6Dn,gfy (with Machine Gun Kelly),2cFrymmkijnjDg9SS92EPM,blackbear,43tasPwPisjAgGgde0yy7F,172821,2022-05-27,3,0.743,0.733,8,-3.029,1,0.0597,0.026,0.0,0.353,0.375,121.134,3,pop,0.5980042403694577,0.0020588235294117644,0.019360730593607305,0.2353648026664857,0.5980042403694577,0.1269062278029858,0.01830517503805175
4qeMMEoVX97kGLbGgfFm2r,One Life,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,0CL15DrwVyxiR9lnrYeDDG,231546,2022-05-27,46,0.573,0.593,6,-7.225,1,0.0299,0.114,2.65e-06,0.122,0.425,159.978,1,country,0.67525284961195,0.08485440862184862,0.67525284961195,0.01473700984277408,0.0664621908925287,0.030854918687211325,0.12783862234368726
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,5BWl0bB1q0TqyFmkBEupZy,298933,1985,67,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,rnb,0.368,0.2838095238095238,0.0680952380952381,0.13,0.0520952380952381,0.368,0.098
7B4uYqxTpTOS1sgxFB9Ann,The Last Ride,4PULA4EFzYTrxYvOVlwpiQ,Sidhu Moose Wala,2ga8NDQRxoXRAsqajZoCjv,262247,2022-05-15,76,0.792,0.647,10,-5.447,0,0.334,0.0299,0.0,0.119,0.638,89.029,2,hiphop,0.744,0.0,0.0,0.744,0.072,0.178,0.006
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,3myPwaMYjdwhtq0nFgeG6W,251488,1985-02-25,88,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,5,rock,0.7958777777777777,0.04655555555555556,0.05677777777777778,0.0144,0.03122222222222222,0.05516666666666666,0.7958777777777777
5W7DOVGQLTigu09afW7QMT,295,4PULA4EFzYTrxYvOVlwpiQ,Sidhu Moose Wala,45ZIondgVoMB84MQQaUo9T,270000,2021-05-15,78,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,2,hiphop,0.5459047619047619,0.0060533333333333324,0.028512380952380952,0.5459047619047619,0.0917047619047619,0.2857714285714286,0.04205333333333333
1BkY0N8ChFk2mdLbAUu8ZK,Pass The Dutchie,2CuzDPkRD6BJBvdWqCrt2I,Musical Youth,7EaFCudrleGdoYFl2srjhi,205426,1994-02-28,71,0.805,0.418,7,-14.374,1,0.0979,0.459,0.0,0.288,0.966,149.724,1,country,0.326,0.104,0.326,0.138,0.052,0.212,0.168
4zN21mbAuaD0WqtmaTZZeP,Ferrari,43BxCL6t4c73BQnIJtry5v,James Hype,6moZ4sNThthUAwCklyuPY8,186661,2022-04-01,85,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,2,hiphop,0.29325,0.02,0.024,0.29325,0.251125,0.253625,0.158
31tf1qEai5o5f4r66Kd0pU,Me and Your Mama,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,4Carzsnpd6yvuHZ49I0oz8,379226,2016-12-02,18,0.554,0.433,5,-12.628,1,0.0341,0.0116,0.0449,0.0667,0.237,117.996,5,rock,0.41475,0.31857608695652173,0.094,0.044,0.046,0.08267391304347826,0.41475
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,192840,2022-06-03,87,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,3,pop,0.7476786845528727,0.00608,0.007484931734931734,0.11376847639714648,0.7476786845528727,0.12230583957886391,0.0026820677361853833
67dU06KGaJHLLlo5Y5bkD2,Reputation,246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,248177,2022-06-03,68,0.314,0.439,2,-5.726,1,0.0311,0.671,0.0,0.181,0.364,180.119,0,acoustic,0.46755555555555556,0.46755555555555556,0.23722222222222222,0.006,0.10888888888888888,0.07433333333333335,0.106
2OcSE0EXzgUuqkM1NIJPHJ,Wasting Angels (with The Kid LAROI),246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,243158,2022-06-03,66,0.583,0.43,9,-7.748,1,0.0353,0.801,0.0,0.0867,0.367,84.967,0,acoustic,0.5265677996422182,0.5265677996422182,0.1675138938580799,0.004,0.11405128205128204,0.1718205128205128,0.016046511627906976
1NvpO1o8SpkdH3txtJQQc7,Lemon Tree,246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,243486,2022-06-03,69,0.611,0.584,11,-6.897,0,0.0301,0.083,0.0,0.432,0.181,116.106,3,pop,0.2922222222222222,0.28604255319148936,0.06333333333333334,0.094,0.2922222222222222,0.13191489361702127,0.1324869976359338
6Kfoo60npYPdvNxMPMiDpX,Wrapped Around Your Finger,246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,193565,2022-06-03,73,0.744,0.628,2,-5.435,1,0.0287,0.0493,0.0,0.317,0.539,119.966,3,pop,0.3351071428571429,0.07433333333333335,0.20927083333333332,0.11886904761904764,0.3351071428571429,0.1713214285714286,0.0910982142857143
4IxeKzzxUSEgivgtbSbyIK,I Cannot Be (A Sadder Song) (with Gunna),246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,169824,2022-06-03,68,0.517,0.668,1,-6.012,1,0.116,0.0712,0.0,0.407,0.646,79.782,4,rnb,0.4252760989010989,0.037,0.08365622710622712,0.22548214285714285,0.15858553113553114,0.4252760989010989,0.07
2meHtZ7N97pJfvTL4hYtfv,Insane,246dkjvS1zLTtiykXe5h60,Post Malone,3HHNR44YbP7XogMVwzbodx,169660,2022-06-03,67,0.645,0.671,10,-7.208,0,0.0459,0.0597,8e-06,0.11,0.365,82.546,4,rnb,0.42822855997930365,0.024203565980167808,0.04212599681020734,0.2384907454673473,0.18486022267206476,0.42822855997930365,0.08209090909090909
